"service","repo_root","file","image_fields","port_fields"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.channels.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:channels-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.clients.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:clients-dev",""
"things","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.clients.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:clients-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.groups.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:groups-dev",""
"domains","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.groups.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:groups-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.mqtt-stub.yml","    image: traefik/whoami:v1.10.2",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.provision.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:provision-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.re.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.reports.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.things.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:things-dev",""
"things","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.things.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:things-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.ui-backend-stub.yml","    image: traefik/whoami:v1.10.2",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.ui-backend.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:ui-backend-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.users.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:users-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.yml","    image: traefik:v3.1 |     image: traefik/whoami:v1.10.2",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\Dockerfile.alarms","","EXPOSE 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\Dockerfile.bootstrap","","EXPOSE 8080"
